date,advbw,bwhist
2011-06-15,12.407012,7.851595
2011-06-16,12.523251,7.705940
2011-06-17,12.378245,7.657311
2011-06-18,12.636677,7.727574
2011-06-19,12.656026,7.625029
2011-06-20,12.530148,7.686468
2011-06-21,12.621733,7.807708
2011-06-22,12.581852,7.885084
2011-06-23,12.704787,7.802332
2011-06-24,12.956893,7.957512
2011-06-25,13.043112,8.035027
2011-06-26,13.031481,7.948560
2011-06-27,12.984091,8.104855
2011-06-28,13.178254,7.985817
2011-06-29,12.839267,8.044609
2011-06-30,13.099044,8.052961
2011-07-01,13.226888,7.986933
2011-07-02,13.271554,8.059597
2011-07-03,13.376379,7.992944
2011-07-04,13.151601,8.094068
2011-07-05,13.315550,8.351512
2011-07-06,13.507569,8.509975
2011-07-07,13.527576,8.236724
2011-07-08,13.484246,8.219264
2011-07-09,13.535799,8.043485
2011-07-10,13.507322,8.039451
2011-07-11,13.349095,8.297280
2011-07-12,13.509489,8.347325
2011-07-13,13.406336,8.319293
2011-07-14,13.671053,8.222499
2011-07-15,13.489942,8.308499
2011-07-16,13.656115,8.485397
2011-07-17,13.848511,8.353557
2011-07-18,13.780031,8.679677
2011-07-19,13.919686,8.748242
2011-07-20,13.968345,8.719316
2011-07-21,14.199839,8.576061
2011-07-22,14.029763,8.584440
2011-07-23,14.095389,8.656277
2011-07-24,14.166448,8.486431
2011-07-25,13.833263,8.490561
2011-07-26,13.728491,8.484946
2011-07-27,13.823356,8.577545
2011-07-28,13.750843,8.685174
2011-07-29,13.506199,8.632669
2011-07-30,13.823110,8.635547
2011-07-31,13.508224,8.291933
2011-08-01,13.224326,7.940199
2011-08-02,13.409670,8.191193
2011-08-03,13.326488,8.298926
2011-08-04,13.606233,8.295500
2011-08-05,13.558063,8.364156
2011-08-06,13.512278,8.490655
2011-08-07,13.527809,8.476517
2011-08-08,13.489672,8.556047
2011-08-09,13.492890,8.479041
2011-08-10,13.514536,8.458516
2011-08-11,13.540196,8.490457
2011-08-12,13.537164,8.637037
2011-08-13,13.541784,8.670658
2011-08-14,13.382129,8.466137
2011-08-15,13.094423,8.501099
2011-08-16,13.063830,8.446791
2011-08-17,13.107175,8.270000
2011-08-18,12.746367,8.248360
2011-08-19,12.685251,8.220339
2011-08-20,12.364552,8.279416
2011-08-21,12.440852,8.222841
2011-08-22,12.383019,8.245452
2011-08-23,12.377628,8.290121
2011-08-24,12.257733,8.192748
2011-08-25,12.283617,8.230430
2011-08-26,12.397887,8.204695
2011-08-27,12.312431,8.234914
2011-08-28,12.118180,8.065685
2011-08-29,12.093185,8.054795
2011-08-30,12.212814,8.257715
2011-08-31,12.467310,8.255848
2011-09-01,12.359453,8.298626
2011-09-02,12.443425,8.436042
2011-09-03,12.784435,8.622979
2011-09-04,12.598612,8.588340
2011-09-05,12.749142,8.545154
2011-09-06,12.725705,8.379166
2011-09-07,12.619805,8.490323
2011-09-08,12.809014,8.628899
2011-09-09,13.176259,8.795681
2011-09-10,13.402081,9.036813
2011-09-11,13.487589,8.798354
2011-09-12,13.226838,8.660016
2011-09-13,13.281834,8.907740
2011-09-14,13.762783,8.975229
2011-09-15,13.930749,9.012789
2011-09-16,13.709793,9.084762
2011-09-17,14.035883,9.122770
2011-09-18,13.954451,9.078307
2011-09-19,13.801965,9.136098
2011-09-20,14.097913,9.059163
2011-09-21,14.079440,9.156844
2011-09-22,13.902438,9.157721
2011-09-23,13.907480,9.193803
2011-09-24,14.010322,9.385727
