#
# The Tor Project
#
# URL: https://metrics.torproject.org/hidserv-rend-relayed-cells.csv?start=2010-01-01&end=2019-11-27
#
date,relayed,frac
2015-07-16,0.524987249019259,0.027489
2015-07-17,0.45947951872,0.031945
2015-07-18,0.421148959146667,0.03308
2015-07-19,0.468938433327407,0.032328
2015-07-20,0.491071007905185,0.03175
2015-07-21,0.536717509072593,0.025624
2015-07-22,0.447174526340741,0.024499
2015-07-23,0.48037167725037,0.023298
2015-07-24,0.42519399698963,0.024251
2015-07-25,0.478884791893333,0.023577
2015-07-26,0.484069633517037,0.028527
2015-07-27,0.482573977268148,0.024875
2015-07-28,0.464924893060741,0.020144
2015-07-29,0.613175633588148,0.02588
2015-07-30,0.662660392059259,0.031263
2015-07-31,0.625719202891852,0.026795
2015-08-01,0.619496693191111,0.029413
2015-08-02,0.651317057422222,0.029665
2015-08-03,0.726193238518518,0.018155
2015-08-04,0.5168752896,0.011913
2015-08-05,0.550024962512593,0.012961
2015-08-06,0.730147414897778,0.030849
2015-08-07,0.75107782144,0.027986
2015-08-08,0.615121513197037,0.028519
2015-08-09,0.635232428847407,0.030538
2015-08-10,0.614619843508148,0.027474
2015-08-11,0.618796923685926,0.023999
2015-08-12,0.492993647739259,0.018543
2015-08-13,0.637563269973333,0.02371
2015-08-14,0.695770688995556,0.021289
2015-08-15,0.679702821783704,0.021005
2015-08-16,0.68795113837037,0.019642
2015-08-17,0.747528553860741,0.020205
2015-08-18,0.712177397665185,0.019795
2015-08-19,0.778497539602963,0.019369
2015-08-20,0.88024146176,0.019948
2015-08-21,0.888203552331852,0.019152
2015-08-22,0.787634269724444,0.020281
2015-08-23,0.834412018536296,0.021023
2015-08-24,0.708571535739259,0.022735
2015-08-25,0.755540476965926,0.024123
2015-08-26,0.705673586583704,0.022965
2015-08-27,0.78662299666963,0.023963
2015-08-28,0.795041393351111,0.020565
2015-08-29,0.76198984082963,0.020601
2015-08-30,0.751585712165926,0.021279
2015-08-31,0.741631312877037,0.02294
2015-09-01,0.814065917108148,0.022987
2015-09-02,0.82910376850963,0.021496
2015-09-03,0.810751210998519,0.021136
2015-09-04,0.736315997487407,0.02198
2015-09-05,0.826156369256296,0.023258
2015-09-06,0.8448234688,0.025092
2015-09-07,0.738839100397037,0.027764
2015-09-08,0.770794191644444,0.028231
2015-09-09,0.819646636231111,0.028205
2015-09-10,0.763154406115556,0.031076
2015-09-11,0.738785372586667,0.033827
2015-09-12,0.778833255016296,0.029853
2015-09-13,0.778927014447407,0.027231
2015-09-14,0.732208952936296,0.025126
2015-09-15,0.781372227887407,0.02628
2015-09-16,0.800112662186667,0.025347
2015-09-17,0.685135369908148,0.025596
2015-09-18,0.566095199194074,0.025066
2015-09-19,0.598317749428148,0.024242
2015-09-20,0.764123359336296,0.026337
2015-09-21,0.723414963626667,0.02799
2015-09-22,0.80041187584,0.027632
2015-09-23,0.709458262328889,0.028073
2015-09-24,0.751335493262222,0.025525
2015-09-25,0.741230489742222,0.023844
2015-09-26,0.760318330832593,0.025113
2015-09-27,0.746859713042963,0.029309
2015-09-28,0.827838930868148,0.033301
2015-09-29,0.794259310364444,0.040242
2015-09-30,0.813538317368889,0.044084
2015-10-01,0.845359341700741,0.046984
2015-10-02,0.85038377618963,0.05042
2015-10-03,0.813720609137778,0.048159
2015-10-04,0.795279553991111,0.050276
